GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TP1,default,AnimalDansMauvaisSecteurException,5,0,0,0,2,0,2,0,2,0
TP1,default,App,93,0,6,0,23,0,6,0,3,0
TP1,default,TypeAnimal,0,24,0,0,0,2,0,1,0,1
TP1,default,Animal,3,12,0,0,1,5,1,2,1,2
TP1,default,Secteur,7,26,1,1,2,8,2,3,1,3
TP1,default,Chat,10,5,0,0,1,2,1,1,1,1
TP1,default,LimiteVisiteurException,2,3,0,0,1,1,1,1,1,1
TP1,default,Zoo,41,52,4,2,8,14,5,6,3,5
TP1,default,Chien,10,5,0,0,1,2,1,1,1,1
TP1,default,SecteurComparator,0,9,0,0,0,2,0,2,0,2
